time(s),C_Active,L_Active,itp_Po,itp_Temp,itp_HR,itp_RR,itp_HRV
47.031667,0.008579656,0.0069390129,-27.190211,0.045274054,145.14836,54.162386,0.018107978
47.131667,0.0086087208,0.007109493,-27.167399,0.045740348,145.18797,54.162386,0.018107319
47.231667,0.0086377856,0.0072799731,-27.144587,0.046206643,145.29366,54.162386,0.018107319
47.331667,0.0086668503,0.0074504532,-27.121221,0.046672938,145.39936,54.162386,0.018107319
47.431667,0.0086959151,0.0075534832,-27.09693,0.047139232,145.50505,54.162386,0.018107319
47.531667,0.0087249798,0.0070296075,-27.072639,0.047605527,145.5775,54.162386,0.018107319
47.631667,0.0096384671,0.0065057317,-27.048349,0.048071822,145.5775,54.162386,0.018107319
47.731667,0.010993559,0.005981856,-27.024058,0.048538117,145.5775,54.162386,0.018107319
47.831667,0.01234865,0.0054579803,-27.000908,0.048995178,145.5775,54.162386,0.018107319
47.931667,0.013703742,0.0049341046,-26.979704,0.049440263,145.5775,54.162386,0.018107319
48.031667,0.015058833,0.0044102288,-26.958499,0.049885347,145.5775,54.162386,0.018020231
48.131667,0.016413925,0.0038863531,-26.937294,0.050330431,145.5775,54.162386,0.017916672
48.231667,0.017769016,0.0033624774,-26.916089,0.050775515,145.5775,54.162386,0.017813114
48.331667,0.019124108,0.0028386017,-26.899911,0.051220599,145.51689,54.162386,0.017709555
48.431667,0.020479199,0.0029681337,-26.892471,0.051665684,145.23232,54.162386,0.017608619
48.531667,0.021834291,0.0037085428,-26.885032,0.052110768,144.94775,54.162386,0.01751341
48.631667,0.020518528,0.004448952,-26.877592,0.052555852,144.66318,54.162386,0.017418201
48.731667,0.018757322,0.0051893611,-26.870153,0.053000936,144.41617,54.162386,0.017322993
48.831667,0.016996116,0.0059297703,-26.863787,0.05344602,144.41617,54.162386,0.017227784
48.931667,0.01523491,0.0066701794,-26.859324,0.053891104,144.41617,54.162386,0.017196558
49.031667,0.013473704,0.0074105886,-26.854862,0.054336189,144.41617,54.162386,0.017182055
49.131667,0.011712499,0.0081509977,-26.850399,0.054781273,144.43144,54.162386,0.017167552
49.231667,0.0099512926,0.0088914069,-26.845937,0.055226357,144.70291,54.162386,0.017153048
49.331667,0.0081900867,0.009631816,-26.843062,0.055671441,144.97439,54.162386,0.017138749
49.431667,0.0064288808,0.015022676,-26.843062,0.056116525,145.24586,54.162386,0.017124984
49.531667,0.0047497512,0.020726665,-26.843062,0.05656161,145.51733,54.162386,0.017111219
49.631667,0.0047418045,0.026430655,-26.843062,0.057006694,145.79047,54.162386,0.017097454
49.731667,0.0047338579,0.032134644,-26.843062,0.057451778,146.06362,54.162386,0.017083688
49.831667,0.0047259113,0.037838634,-26.846427,0.057896862,146.33677,54.162386,0.017126745
49.931667,0.0047179646,0.043542623,-26.856012,0.058341946,146.60992,54.162386,0.017187197
50.031667,0.004710018,0.049246613,-26.865597,0.058787031,146.62611,54.165439,0.017247649
50.131667,0.0047020713,0.054950602,-26.875182,0.059232115,146.62611,54.188684,0.0173081
50.231667,0.0046941247,0.060654592,-26.884767,0.059677199,146.62611,54.211928,0.017374546
50.331667,0.0046861781,0.063900658,-26.891607,0.060122283,146.62611,54.235173,0.017457897
50.431667,0.0046782314,0.062693353,-26.893269,0.060567367,146.91103,54.258417,0.017541248
50.531667,0.0046959424,0.061486048,-26.89493,0.061012451,147.24062,54.281662,0.017624599
50.631667,0.0047963009,0.060278743,-26.896592,0.061457536,147.57021,54.304906,0.01770795
50.731667,0.0048966595,0.059071438,-26.898253,0.06190262,147.8998,54.328151,0.017805873
50.831667,0.004997018,0.057864133,-26.904733,0.062347704,147.96284,54.351395,0.017908078
50.931667,0.0050973765,0.056656829,-26.920495,0.062792788,147.96284,54.37464,0.018010283
51.031667,0.0051977351,0.055449524,-26.936256,0.063237872,147.96284,54.397884,0.018112488
51.131667,0.0052980936,0.054242219,-26.952018,0.063682957,147.96284,54.421129,0.018211496
51.231667,0.0053984521,0.053034914,-26.96778,0.064128041,147.71721,54.444373,0.018302182
51.331667,0.0054988107,0.050830197,-26.978229,0.064573125,147.39007,54.467618,0.018392869
51.431667,0.0055991692,0.048336276,-26.978229,0.065018209,147.06294,54.490863,0.018483556
51.531667,0.0056518397,0.045842356,-26.978229,0.065463293,146.7358,54.507519,0.018574243
51.631667,0.0056402844,0.043348435,-26.978229,0.065908378,146.57404,54.507519,0.018584983
51.731667,0.0056287292,0.040854515,-26.978229,0.066353462,146.4957,54.507519,0.01857415
51.831667,0.0056171739,0.038360595,-26.978229,0.066789413,146.41736,54.507519,0.018563318
51.931667,0.0056056186,0.035866674,-26.978229,0.067213515,146.33902,54.507519,0.018552485
52.031667,0.0055940634,0.033372754,-26.978229,0.067637618,146.47368,54.507519,0.018578884
52.131667,0.0055825081,0.030878833,-26.978229,0.06806172,146.77136,54.507519,0.018691489
52.231667,0.0055709528,0.02845451,-26.978229,0.068485823,147.06903,54.507519,0.018804094
52.331667,0.0055593976,0.026316946,-26.978806,0.068909926,147.36671,54.507519,0.018916698
52.431667,0.0055478423,0.024179381,-26.980564,0.069334028,147.44477,54.507519,0.019029303
52.531667,0.0053901916,0.022041817,-26.982323,0.069758131,147.29108,54.507519,0.019177649
52.631667,0.0051415437,0.019904252,-26.984082,0.070182234,147.1374,54.507519,0.019334188
52.731667,0.0048928958,0.017766688,-26.985841,0.070606336,146.98371,54.507519,0.019490728
52.831667,0.0046442479,0.015629123,-26.988097,0.071030439,146.82781,54.507519,0.019647268
52.931667,0.0043956,0.013491559,-26.991394,0.071454542,146.66853,54.507519,0.019782348
53.031667,0.0041469521,0.011353994,-26.994691,0.071878644,146.50925,54.519417,0.019874564
53.131667,0.0038983042,0.0092164295,-26.997988,0.072302747,146.34997,54.56825,0.019966781
53.231667,0.0036496563,0.0089351214,-27.001285,0.072726849,146.26101,54.617082,0.020058997
53.331667,0.0034010084,0.0098131687,-27.006656,0.073150952,146.346,54.665915,0.020151214
53.431667,0.0031523605,0.010691216,-27.016468,0.073575055,146.43098,54.714748,0.020202714
53.531667,0.0032975033,0.011569263,-27.02628,0.073999157,146.51596,54.763581,0.020247559
53.631667,0.0035379852,0.01244731,-27.036092,0.07442326,146.58918,54.812414,0.020292403
53.731667,0.003778467,0.013325358,-27.045904,0.074847363,146.61177,54.861247,0.020337248
53.831667,0.0040189489,0.014203405,-27.060609,0.075271465,146.63435,54.91008,0.02036155
